IQ	continental-oriented	EN
JO	continental-oriented	EN
CD	continental-oriented	EN
AR	cross-ocean	EN
AU	cross-ocean	EN
CA	cross-ocean	EN
CL	cross-ocean	EN
CO	cross-ocean	EN
CR	cross-ocean	EN
EG	cross-ocean	EN
GT	cross-ocean	EN
HN	cross-ocean	EN
ID	cross-ocean	EN
IL	cross-ocean	EN
MY	cross-ocean	EN
MX	cross-ocean	EN
NI	cross-ocean	EN
NO	cross-ocean	EN
PA	cross-ocean	EN
RU	cross-ocean	EN
ZA	cross-ocean	EN
TH	cross-ocean	EN
US	cross-ocean	EN
AF	fully internal	EN
AM	fully internal	EN
AT	fully internal	EN
AZ	fully internal	EN
BY	fully internal	EN
BT	fully internal	EN
BO	fully internal	EN
BW	fully internal	EN
HU	fully internal	EN
KZ	fully internal	EN
KG	fully internal	EN
LA	fully internal	EN
LS	fully internal	EN
LI	fully internal	EN
LU	fully internal	EN
MK	fully internal	EN
MD	fully internal	EN
MN	fully internal	EN
NP	fully internal	EN
NG	fully internal	EN
PY	fully internal	EN
RW	fully internal	EN
RS	fully internal	EN
SK	fully internal	EN
SD	fully internal	EN
CH	fully internal	EN
TJ	fully internal	EN
UG	fully internal	EN
UZ	fully internal	EN
ZW	fully internal	EN
NO	inter-continental cables	EN
CA	inter-continental cables	EN
PH	inter-continental cables	EN
JP	inter-continental cables	EN
ID	inter-continental cables	EN
GR	inter-continental cables	EN
DK	inter-continental cables	EN
NZ	inter-continental cables	EN
GB	inter-continental cables	EN
HR	inter-continental cables	EN
VU	inter-continental cables	EN
HK	inter-continental cables	EN
EE	inter-continental cables	EN
CW	inter-continental cables	EN
IS	inter-continental cables	EN
MT	inter-continental cables	EN
BM	inter-continental cables	EN
IT	inter-continental cables	EN
HT	inter-continental cables	EN
VI	inter-continental cables	EN
JM	inter-continental cables	EN
RU	inter-continental cables	EN
AU	inter-continental cables	EN
PA	inter-continental cables	EN
KN	inter-continental cables	EN
FJ	inter-continental cables	EN
TR	inter-continental cables	EN
MY	inter-continental cables	EN
KR	inter-continental cables	EN
CL	inter-continental cables	EN
SG	inter-continental cables	EN
ES	inter-continental cables	EN
CY	inter-continental cables	EN
MX	inter-continental cables	EN
US	inter-continental cables	EN
JE	inter-continental cables	EN
MG	inter-continental cables	EN
VN	inter-continental cables	EN
PT	inter-continental cables	EN
DO	inter-continental cables	EN
BH	inter-continental cables	EN
CR	inter-continental cables	EN
IE	inter-continental cables	EN
GU	inter-continental cables	EN
PR	inter-continental cables	EN
LK	inter-continental cables	EN
QA	inter-continental cables	EN
TT	inter-continental cables	EN
SE	inter-continental cables	EN
CN	inter-continental cables	EN
GI	inter-continental cables	EN
BB	inter-continental cables	EN
FR	inter-continental cables	EN
AE	inter-continental cables	EN
TH	inter-continental cables	EN
EC	inter-continental cables	EN
IN	inter-continental cables	EN
DE	inter-continental cables	EN
MU	inter-continental cables	EN
OM	inter-continental cables	EN
KW	inter-continental cables	EN
UA	inter-continental cables	EN
CO	inter-continental cables	EN
AR	inter-continental cables	EN
VE	inter-continental cables	EN
TN	inter-continental cables	EN
MZ	inter-continental cables	EN
MA	inter-continental cables	EN
NI	inter-continental cables	EN
BR	inter-continental cables	EN
BZ	inter-continental cables	EN
ZA	inter-continental cables	EN
ME	inter-continental cables	EN
HN	inter-continental cables	EN
EG	inter-continental cables	EN
NL	inter-continental cables	EN
